dispnum,ccode,participant_incident_count,participant_threat_count,participant_force_count,participant_max_action,participant_mean_hostlev,sidea,revstate,revtype1,revtype2,use_force_or_war
4430,703,1,0,1,11,3.0,1,0,0,0,0
4430,704,1,1,0,0,1.0,0,0,0,0,0
4431,350,3,1,0,7,2.3333333333333335,1,1,1,2,0
4431,640,3,2,0,7,1.6666666666666667,0,1,1,2,0
4432,703,2,0,2,16,4.0,1,0,0,0,1
4432,704,2,2,0,0,1.0,0,0,0,0,1
4433,702,2,0,2,16,4.0,1,0,0,0,1
4433,704,2,2,0,0,1.0,0,0,0,0,1
4434,371,1,0,1,16,4.0,1,0,0,0,1
4434,640,1,1,0,0,1.0,0,0,0,0,1
4435,350,5,3,0,7,1.8,0,0,0,0,0
4435,640,5,2,0,7,2.2,1,0,0,0,0
4436,365,12,1,5,17,3.25,1,1,2,0,1
4436,372,12,8,4,17,2.0,0,1,2,0,1
4437,365,2,0,0,7,3.0,1,0,0,0,0
4437,375,2,2,0,0,1.0,0,0,0,0,0
4438,365,1,0,0,7,3.0,1,0,0,0,0
4438,369,1,1,0,0,1.0,0,0,0,0,0
4439,355,1,0,1,16,4.0,1,1,2,0,1
4439,640,1,1,0,0,1.0,0,0,0,0,1
4440,365,1,0,0,7,3.0,1,1,2,0,0
4440,385,1,1,0,0,1.0,0,0,0,0,0
4441,359,1,1,0,0,1.0,0,0,0,0,0
4441,369,1,0,1,11,3.0,1,0,0,0,0
4442,703,2,1,1,17,2.5,1,0,0,0,1
4442,704,2,0,2,17,3.5,0,0,0,0,1
4443,350,1,1,0,0,1.0,0,0,0,0,0
4443,640,1,0,0,7,3.0,1,0,0,0,0
4444,710,1,1,0,0,1.0,0,0,0,0,0
4444,713,1,0,0,7,3.0,1,1,2,0,0
4445,710,1,0,1,12,3.0,1,1,2,0,0
4445,740,1,1,0,0,1.0,0,0,0,0,0
4446,710,1,0,0,7,3.0,1,0,0,0,0
4446,816,1,1,0,0,1.0,0,0,0,0,0
4447,710,1,0,1,12,3.0,1,1,2,0,0
4447,732,1,1,0,0,1.0,0,0,0,0,0
4448,710,1,1,0,0,1.0,0,0,0,0,1
4448,840,1,0,1,15,4.0,1,1,2,0,1
4449,731,1,1,0,0,1.0,0,0,0,0,0
4449,740,1,0,0,7,3.0,1,1,2,0,0
4450,2,1,1,0,0,1.0,0,0,0,0,0
4450,710,1,0,0,7,3.0,1,0,1,2,0
4451,2,1,0,1,15,4.0,1,0,0,0,1
4451,230,1,0,1,15,4.0,1,0,0,0,1
4451,731,1,1,0,0,1.0,0,0,0,0,1
4452,850,1,0,1,16,4.0,1,1,2,0,1
4452,910,1,1,0,0,1.0,0,0,0,0,1
4453,840,1,1,0,0,1.0,0,0,0,0,1
4453,850,1,0,1,16,4.0,1,1,2,0,1
4454,713,1,1,0,0,1.0,0,0,0,0,0
4454,740,1,0,0,7,3.0,1,1,2,0,0
4455,2,3,1,0,7,2.3333333333333335,1,1,2,0,0
4455,731,3,2,0,7,1.6666666666666667,0,1,2,0,0
4456,731,2,2,0,0,1.0,0,0,0,0,1
4456,740,2,0,1,15,3.5,1,1,2,0,1
4457,710,2,2,0,0,1.0,0,0,0,0,1
4457,740,2,0,0,7,3.0,1,1,2,0,1
4458,710,1,0,1,12,3.0,1,0,0,0,0
4458,750,1,1,0,0,1.0,0,0,0,0,0
4459,230,1,0,1,15,4.0,1,0,0,0,1
4459,732,1,1,0,0,1.0,0,0,0,0,1
4460,2,1,0,0,7,3.0,1,0,0,0,0
4460,850,1,1,0,0,1.0,0,0,0,0,0
